Values-and-Quantities
1
1,2,3,4,5
Kappa,0.15816326530612246,0.28359683794466406,0.2107508532423208,0.27811550151975684

2,1,3,4,5
Kappa,0.15816326530612246,0.4849785407725322,0.14893617021276595,0.09090909090909105

3,1,2,4,5
Kappa,0.28359683794466406,0.4849785407725322,0.3862341078474354,0.2623476587556126

4,1,2,3,5
Kappa,0.2107508532423208,0.14893617021276595,0.3862341078474354,0.24831518921721096

5,1,2,3,4
Kappa,0.27811550151975684,0.09090909090909105,0.2623476587556126,0.24831518921721096

2
1,2,3,4,5
Kappa,0.20833333333333337,0.4921875,0.25595238095238093,0.21568627450980382

2,1,3,4,5
Kappa,0.20833333333333337,0.4849785407725322,0.14893617021276595,0.09090909090909105

3,1,2,4,5
Kappa,0.4921875,0.4849785407725322,0.3862341078474354,0.2623476587556126

4,1,2,3,5
Kappa,0.25595238095238093,0.14893617021276595,0.3862341078474354,0.24831518921721096

5,1,2,3,4
Kappa,0.21568627450980382,0.09090909090909105,0.2623476587556126,0.24831518921721096

3
1,2,3,4,5
Kappa,0.3527508090614886,0.4196169471851422,0.2472266244057052,0.1578947368421053

2,1,3,4,5
Kappa,0.3527508090614886,0.4849785407725322,0.15841584158415833,0.09565217391304348

3,1,2,4,5
Kappa,0.4196169471851422,0.4849785407725322,0.3144424131627056,0.2727272727272727

4,1,2,3,5
Kappa,0.2472266244057052,0.15841584158415833,0.3144424131627056,0.2702702702702703

5,1,2,3,4
Kappa,0.1578947368421053,0.09565217391304348,0.2727272727272727,0.2702702702702703

4
1,2,3,4,5
Kappa,0.4318181818181819,0.5897435897435898,0.1588785046728971,0.22330097087378642

2,1,3,4,5
Kappa,0.4318181818181819,0.4318181818181819,-0.024590163934426146,0.24450549450549441

3,1,2,4,5
Kappa,0.5897435897435898,0.4318181818181819,0.1588785046728971,0.3527508090614886

4,1,2,3,5
Kappa,0.1588785046728971,-0.024590163934426146,0.1588785046728971,0.08200734394124842

5,1,2,3,4
Kappa,0.22330097087378642,0.24450549450549441,0.3527508090614886,0.08200734394124842

5
1,2,3,4,5
Kappa,0.49622166246851385,0.32773109243697474,-0.006711409395973256,0.3951612903225806

2,1,3,4,5
Kappa,0.49622166246851385,0.23566878980891715,-0.012145748987854255,0.2732558139534884

3,1,2,4,5
Kappa,0.32773109243697474,0.23566878980891715,0.2753623188405797,0.20454545454545459

4,1,2,3,5
Kappa,-0.006711409395973256,-0.012145748987854255,0.2753623188405797,-0.013513513513513598

5,1,2,3,4
Kappa,0.3951612903225806,0.2732558139534884,0.20454545454545459,-0.013513513513513598

Events
1
1,2,3,4,5
Kappa,0.4501178318931658,0.5125348189415042,0.5432883240667197,0.44620253164556967

2,1,3,4,5
Kappa,0.4501178318931658,0.5426504998936397,0.4766681203663323,0.6326905417814509

3,1,2,4,5
Kappa,0.5125348189415042,0.5426504998936397,0.5596969076387466,0.6367787463677874

4,1,2,3,5
Kappa,0.5432883240667197,0.4766681203663323,0.5596969076387466,0.5998315080033698

5,1,2,3,4
Kappa,0.44620253164556967,0.6326905417814509,0.6367787463677874,0.5998315080033698

2
1,2,3,4,5
Kappa,0.47242683655186146,0.4806751223409568,0.5508085446196846,0.4515357000398883

2,1,3,4,5
Kappa,0.47242683655186146,0.5426504998936397,0.4766681203663323,0.6326905417814509

3,1,2,4,5
