1,2,3,4,5
Accuracy,0.595,0.455,0.495,0.555
Balanced Accuracy,0.5877976190476191,0.5724206349206349,0.4419642857142857,0.5600198412698413
P-value,0.000566421061504164,7.711948164450313e-22,0.00835561045756461,2.1105897227010216e-05

2,1,3,4,5
Accuracy,0.595,0.58,0.5,0.56
Balanced Accuracy,0.5716671727907683,0.6071464723150116,0.4894220062759389,0.5590646826601883
P-value,0.000566421061504164,1.8325724405318084e-09,0.4196935821761135,0.42383874882851713

3,1,2,4,5
Accuracy,0.455,0.58,0.43,0.59
Balanced Accuracy,0.5749582852008728,0.6358618919265819,0.4674624566807855,0.6245668078552176
P-value,7.711948164450313e-22,1.8325724405318084e-09,7.84464191692751e-12,2.0299271870710438e-07

4,1,2,3,5
Accuracy,0.495,0.5,0.43,0.5
Balanced Accuracy,0.45144724556489263,0.48915862641352836,0.4737005913476502,0.49704326174914404
P-value,0.00835561045756461,0.4196935821761135,7.84464191692751e-12,0.10797987232735315

5,1,2,3,4
Accuracy,0.555,0.56,0.59,0.5
Balanced Accuracy,0.5484435992393154,0.5584025623060754,0.5971374236813132,0.49714743268942047
P-value,2.1105897227010216e-05,0.42383874882851713,2.0299271870710438e-07,0.10797987232735315

